Nombre_Carpeta,Nombre_Imagen,Texto_Extraido
Recoleccion germoplasma-Peru-1977,page_7.png,"-2-
B. Phaseolus vulgaris L.
IDENTIFICACION
LOCALIDAD
OBSERVACIONES
PROVINCIA
37) BVu-1
Mezcla
Cashmiche
38) BVu-2
Plomo
Tayagual
CV. tradicional, gris tipo III
39) BVu-3
Local
Jose Balta
40) BVu-4
Mezcla flufias
Cajabamba
Redondos para tostar 5.03324 CAJAMARCA
41) BVu-5
Mezcla flufias
Cajabamba
Redondos para tostar 5.03325
CAJAMARCA
42) BVu-6
Nufia
Cajabamba
5.03326
CAJAMARCA
43)
BVu-7
Nufia huevo de paloma
Huamachuco
G12199
48 LIBERTAD
CAJAMARCA
44) BVu-8
Mezcla flufias
Cajabamba
5.03328
45) BVu-9
Nufia coneja
Huamachuco
5.03329
LA LIBERTAD
""
46) BVu-10
Mezcla flufias
Huamachuco
""
47) BVu-11
Mezcla frijo1 de color Huamachuco
""
48) BVu-12
Nuffa
Huamachuco
49) BVu-13
Nufia
Cajabamba
CAJAMARCA
50) BVu-14
Nuffa
""
51) BVu-15
""
52) BVu-16
Mezcla
""
53) BVu-17
""
54) BVu-18
""
55) BVu-19
""
56) BVu-20
Nufia
""
57) BVu-21
Mezcla
""
58) BVu-22
Mezcla
""
59) BVu-23
Nufia
""
60) BVu-24
Nufia
""
61) BVu-25
""
62) BVu-26
Nuffa
""
63) BVu-27
""
64) BVu-28
Naffa
""
65) BVu-29
Mezcla
""
66) BVu-30
Nufia
""
67) BVu-31
""
68) BVu-32
Nufia
""
69) BVu-33
""
70) BVu-34
Mezcla flufias
..
Nuna
""
71) BVu-35
""
72) BVu-36
Mezcla flufias
""
73) BVu-37
Bayo
74) BVu-38
Nufia
10
75) BVu-40
Caballero
""
76) BVu-41
""
77)
BVu-42
Nufia
""
"
Recoleccion germoplasma-Peru-1977,page_9.png,"-4-
Ayacucho
167
Huanuco
10
""
18
168
154
""
""
169
163
""
""
170
197
""
171
Junin
122
""
""
176
139
11
""
177
204
""
179
Libertad
202
""
181
Loreto
16
""
Cajamarca 102
17
""
""
126
2
""
127
Moquegua
3
""
128
Piura
16
""
""
129
41
""
""
130
53
""
""
131
54
""
""
133
55
""
134
San Martin
3
""
""
137
52
""
144
Huancavelica
4
""
""
145
9
""
""
147
11
""
""
154
12
""
""
159
18
""
164
Ica
4
""
""
170
22
""
175
San Martín
28
""
""
177
51
""
""
186
52
""
""
189
53
""
Cuzco
3
55
""
5
Cuzco
122
""
6
Apurimac
89
""
""
4
90
""
""
50
92
""
""
71
95
""
72
Ayacucho
106
73
""
""
110
""
""
74
117
""
""
76
118
""
77
Lima
20
P. lunatus
""
""
78
21
P. lunatus
""
79
""
C
23
P. lunatus
2:
ESTAS MUESTRAS DEBERAN INCREMENTARSE EN POPAYAN PRIMERO, EXCEPTO LAS 3 ULTIMAS
QUE CORRESPONDEN A P. lunatus, LAS CUALES DEBERAN SEMBRARSE EN PALMIRA.
"
Recoleccion germoplasma-Peru-1977,page_6.png,"RELACION DE MATERIALES COLECTADOS EN PERU
Junio 1977
A. Phaseolus lunatus L.
IDENTIFICACION
LOCALIDAD
OBSERVACIONES
1)
Blu-1
Ventura 63
Ica
Indeterminada, grano blanco origina-
da en California
2)
Blu-2
Ica-SC-135-65
Ica
Seleccion de criollo x var. norteam.
3) Blu-3
Ica-SC-605-69
Ica
Seleccion de criollo x var. norteam.
4) Blu-4
Ica-SC-744-69
Ica
Seleccion de criollo x var. norteam.
5) Blu-5
Ica-SC-450-69
Ica
Seleccion de criollo x var. norteam.
6) Blu-6
Ica-SC-1138-70
Ica
Seleccion de criollo x var. norteam.
7) Blu-7
C1 -Pintado
Pisco
Criollo local
8) Blu-8
Tauro
Ica
Cultivar tradicional tipo 'baby lima'
9) Blu-9
C1-769-OL-69
Ica
Seleccion de criollo x var. norteam.
10) Blu-10 Dixie Butterpea
Ica
Grano pinto pequefio desarrollado en USA
11) Blu-11 C1-Redondo
Ica
Tradicional en Ica, grano blanco-grande
12) Blu-13 C1-Vino
Ica
Criollo, rojo oscuro, mediano
13) Blu-14 Rojo
Ica
Criollo, rojo mediano
14) Blu-15 Jackson wonder
Ica
Pinto mediano, desarrollado en USA
15) Blu-16 C1-semiguía precoz
Ica
Blanco grande
16) Blu-17 MB precoz erecto
Ica
Blanco grande
17) Blu-18 MB precoz erecto
Ica
Pinto mediano
18) Blu-19 MB precoz erecto
Ica
Verde mediano L
19) Blu-20 MB-precoz erecto
Ica
Rojo, grande L
20) Blu-21 MB-precoz erecto
Ica
Rojo vino, grande
21) Blu-22 MB-precoz erecto
Ica
Pinto, mediano
22) Blu-23 MB-criollo
Ica
Rojo, mediano
23) Blu-24 MB-criollo
Ica
Rojo vino, grande
24) Blu-25 Ica-SC-M-5-69
Ica
Seleccion criollo local x var. norteam.
25) Blu-26 Redondo CAP San Pablo
Pisco
Tradicional, blanco grande
26) Blu-27 Cabeza de toro L-2
Pisco
Tradicional, pinto grande
27) Blu-28 Paller negro de Chincha
Chincha
Tradicional rojo vino, grande
28) Blu-29 Pinto morado
Cajamarca
Tolerante a bajas temperaturas
29) Blu-30 Pintado
Cajabamba
Tolerante a bajas temperaturas
30) Blu-31 Criollo
Nazca
Pinto, grande
31) Blu-32 AM-canario
Nazca
Amarillo azufre, mediano
32) Blu-33 AM-rojo
Nazca
Rojo, pequefio
33) Blu-34 AM-blanco
Nazca
Blanco, pequefio
34) Blu-35 C1-rojo
Ica
Rojo, mediano
35) Blu-36 KBL-Topará
Chincha
Blanco, grande
36) Blu-37 Pinto
Cajabamba
Tolerante a bajas temperaturas
TODOS ESTOS MATERIALES PUEDEN INCREMENTARSE EN PALMIRA USANDO SOPORTES
PARA EVITAR PUDRICIONES DE VAINAS
"
Recoleccion germoplasma-Peru-1977,page_5.png,"Comentarios
Con esta coleccion se cubre la variacion existente de cultivares de Phaseo-
lus spp. peruanos disponibles. Faltaría unicamente recolectar materiales silves-
tres de P. vulgaris y P. lunatus observados en los Valles interandinos de Apuri- -
mac y Urubamba. Asf mismo, recolectar P. lunatus en las faldas de la cordillera
oriental. No se encuentran en el Perú ejemplares de las otras sp. cercanas a .
vulgaris como P. coccineus y P. acutifolius.
No hay peligro inmediato de eliminacion de variabilidad existente por intro-
duccion de materiales mejorados, dadas las pésimas vías de penetracion hacia los
Andes Peruanos y a la enorme cantidad de dispersas pequenas areas de cultivo acce-
sibles solamente mediante acemilas.
Solamente falterfa recibir los materiales de los Andes Ecuatorianos para com-
pletar una adecuada variabilidad ae frijoles de sierra media (1500-2800 m.s.n.m) .
Agradecimientos
Se agradece la cooperacion brindada por el director del CRIA I, Dr. Carlos
Valverde y los miembros del proyecto Frijol: Ing. Rufino Montalvo, Ing. Felicia-
no Avalos y Sr. Constante Sotomayor.
Nota
Para oficina del Líder del Equipo de Frijol se está enviando transparencias
tomadas, 1 folleto del cultivo de P. lunatus (""pallar"") en el Valle de Ica y hoja
de ruta de la zona norte del Perú cubierta en este viaje.
"
Recoleccion germoplasma-Peru-1977,page_1.png,"INFORME DE VIAJE AL PERU
Robert Burns R.
Junio 13-27, 1977
OBJETO:
Recoleccion de semillas de Phaseolus spp. en la Costa Central y Sierra
Norte del Peru.
Junio 13, 1977
Cali-Lima
Junio 14, 1977
Ln Molina. Entrevista con el Dr. Carlos Valverde, director de CRIA I, para
anunciarle motivo de mi visita y solicitarle apoyo de tecnicos del Proyecto Fri-
jol y movilidad.
Junio 15, 1977
Lima - ICA. Acompanado del Ing. Feliciano Avalos se visito la parte alta me-
dia y baja del Valle de ICA situado a 330 Km. al sur de Lima. En ma s de 10 coo-
perativas visitadas se constato la siembra de ""pallar"" (nombre comun de Lima Bean)
del tipo criollo: ""redondo blanco"" de ocho meses de ciclo vegetativo, postrado y
muy tolerante a sequia.
En la estacion experimental agricola San Camilo, de la Lige Agraria del Valle
de ICA, se obtuvieron seis muestras de semilla, entre las cuales hay algunas se
lecciones de menor periodo vegetativo desarrolladas durante un convenio ya cance-
lado con la Universidad de Carolina del Norte. Se encuentra a cargo del Ing. Gui-
llermo Palomino la investigacion en pallar en esta institucion.
"
Recoleccion germoplasma-Peru-1977,page_2.png,"-2-
Junio 16. 1977
ICA-Pisco-Chincha Visita al fondo Los Pobres, perteneciente al Ministerio
de Alimentacion en donde se obtuvieron 10 muestras de pallares de parte del Ing.
Carlos Lozano, ex-encargado de investigacion en frijol en dicha zona.
Visita al Ing. Miguel Belli, profesor de la Universidad Nacional de Ica,
quien dono ocho muestras de pallares y un folleto extensivo de este cultivo.
Posteriormente se visit6 el museo arqueologico de la ciudad de Ica para comparar
la variabilidad colectada, con la existente hace 2500 años en dicho valle.
Tambien se visito la Pampa de Tate situada a 10 Km. de Ica y asiento de pe-
queflos agricultores que cultivan pallar y los cuales no tenfan ninguna muestra
disponible al momento.
En Pisco (Km. 210 sur), se visit6 la parte media del valle, con algunos sem-
brios de pallar criollo proximos a cosecha. Así mismo la irrigacion ""Cabeza de
Toro"" mayormente de pequeflos agricultores. De ambas localidades se colecto dos
muestras de pallares.
En Chincha se recogio en la parte media una muestra del tradicional pallar
""negro de Chincha"" utilizado en la preparacion de dulces. E1 Ing. Klaus Bederski,
quien particularmente realize in estigacion en esta leguminosa dono tambien una
muestra de una de sus selecciones por precocidad, proveniente de cruce natural
entre ""criollo local"" y ""ventura"" de California
Junio 17. 1977
Retorno a Lima
"
Recoleccion germoplasma-Peru-1977,page_4.png,"-4-
Siguiendo la ruta no se vuelven a ver frijoles hasta las cercanías de Caja-
marca a 165 Km. y a 2600 m.s.n.m. Este valle es ganadero y solo reducidas areas
son dedicadas a cultivos. Tres muestras fueron recogidas, una de las cuales es
de P. lunatus.
Cruzando nuevamente la cordillera occidental ya no se observan frijoles has-
ta la parte baja del Valle de Jequetepeque. Como tales frijoles ya se encuentran
representados en nuestra coleccion, no se recogieron.
Junio 23, 1977
Trujillo-Lima
Junio 24, 1977 y Junio 25, 1977
La Molina. Preparacion de certificado fitosanitario y nuevas muestras del
Germoplasma Peruano del Proyecto de Frijol.
Junio 27, 1977
Lima-Cali.
"
Recoleccion germoplasma-Peru-1977,page_8.png,"IDENTIFICACION
LOCALIDAD
OBSERVACIONES
PROVINCIA
78) BVu-43
Ca Jabamba Cajabanba
CAJAMARCA
79) BVu-44
Nufia
""
80) .BVu-45
""
81) BVu-46
""
82) BVu-47
Nuffa
""
83) BVu-48
""
,
84) BVu-49
Nufia
""
.
85) BVu-50
Nufia
""
.
86) BVu-51
""
.
87) BVu-52
Mezcla
""
4
88)
BVu-53
Mezcle
Cajamarca, Cajamarea
89) BVu-54
Cajamarca Cajamarea
DEBEN SER INCREMENTADAS EN POPAYAN, NO ADAPTADAS A ALTAS TEMPERATURAS
RELACION DE MATERIALES DONADOS POR EL PROYECTO-FRIJOL
LA-MOLINA (Peru)
Cuzco
132
Ayacucho
58
Ayacucho
69
Ayacucho
118
Cuzco
133
""
67
""
70
""
119
Ancash
14
""
79
""
71
""
120
""
65
""
80
""
72
""
124
""
85
""
37
""
73
""
125
""
92
""
39
""
75
""
128
93
""
43
""
83
""
131
113
""
45
""
84
""
132
84
""
46
""
86
""
133
""
101
""
48
""
88
""
135
""
103
is
49
""
89
""
137
""
105
""
50
""
90
""
13.8
Apurimac
33
""
52
""
91
""
139
""
23
""
53
""
92
""
140
24
""
54
""
93
""
141
""
38
""
55
""
94
""
142
43
""
56
""
96
""
145
49
""
""
57
..
97
149
50
""
98
""
""
59
150
""
51
""
60
""
99
""
151
""
53
""
61
""
101
""
153
""
54
""
62
""
102
""
154
56
""
""
103
""
63
161
59
""
65
""
106
""
162
61
66
""
""
""
107
165
"
Recoleccion germoplasma-Peru-1977,page_3.png,"-3-
Junio 20, 1977
Lima Trujillo
Junio 21, 1977
Trujillo - Cajabamba. Recoleccion de frijoles tradicionales a punto de de- -
saparecer como ""Plomo"" de hábito III y tolerante a sequia, y algunas otras mues-
tras de pequeflos agricultores (3). . Durante los primeros 39 Km. la quebrada es
estrechs y dedicada a frutales mayormente. Luego se asciende bruscamente y no
se observa ningun frijol hasta las cercanías de Huamachuco, al otro lado de la
cordillera occidental y a 168 Km. de Trujillo.
Huamachuco (3310 m.s.n.m.) es muy alto para el cultivo de frijol y las mues-
tras (5) allf recogidas provienen del pueblo de Yanasara (2600 m.s.n.m).
Prosiguiendo hacia Cajabamba se vuelve a ascender y no se observan frijoles
hasta las cercanías de esta.
Junio 22, 1977
Cajabamba-Trujillo. En esta localidad a 2655 m.s.n.m. se encuentran name-
rosos cultivos de frijol nufia (toasted beans) facilmente reconocibles por su ba-
jo peso de semillas y su forma redondeada. De agricultores particulares y de la
Estacion Experimental Pampa Grande (a 10 Km. de la ciudad), se recogieron un to-
tal de 46 muestras, dos de las cuales son de Phaseolus lunatus tolerante a tem-
peraturas bajas (14 C). Todos estos frijoles son de hábito IV de baja altura
(0.80-1.00 m.) en armonia con la altura del maiz amilaceo con el cual asocian.
E1 mayor problema sanitario 10 constituyen las ""pudriciones radiculares' y
en menor grado antracnosis. Los suelos son ácidos pH 4.5 en promedio y de color acre.
"
Germplasm exploration-Brasil-1980,page_7.png,"TABLE 2
A LIST OF TROPICAL PASTURE SPECIES COLLECTED IN MINAS GERAIS,
BAHIA AND ESPIRITU SANTO (June 15 - 28, 1980)
COLLECTION
NUMBER
GENUS/SPECIES
SEED
HERBARIUM
5238
Macroptilium atropurpureum
+
+
5266
Clitoria sp.
-
+
5270
Paspalum sp.
+
+
5271
Axonopus sp.
-
+
5272
Eragrostis sp.
-
+
5274
Chloris radiata
-
+
5276
Zornia sp.
-
+
5277
Stylosanthes scabra
+
+
5282
Zornia sp.
-
+
5289
Rhynchosia sp.
+
+
5291
Calopogonium sp.
-
+
5292
Stylosanthes scabra
+
-
5293
Paspalum sp.
+
+
5295
Stylosanthes sp.
+
+
5310
Macroptilium lathyroides
-
+
5311
Macroptilium bracteatum
-
+
5312
Stylosanthes sp.
-
+
5313
Stylosanthes sp.
+
5314
Stylosanthes scabra
+
-
5315
Zornia sp.
-
+
5316
Eragrostis sp.
-
+
5317
Stylosanthes scabra
+
-
5318
Centrosema sp.
+
+
5319
Macroptilium sp.
+
+
5353
Chloris sp.
-
+
5354
Setaria sp.
-
+
5367
Stylosanthes bracteata
+
-
5368
Stylosanthes sp.
-
+
5369
Zornia sp.
-
+
5370
Aristida sp.
-
+
5371
Eragrostis sp.
-
+
5372
Panicum sp.
-
+
5373
Setaria sp.
-
+
5375
Macroptilium sp.
+
+
5385
Eragrostis sp.
-
+
5436
Eragrostis sp.
-
+
5437
Eragrostis sp.
-
+
5438
Urochloa sp.
-
+
5439
Panicum sp.
-
+
"
